"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"DSR2NZ9C","journalArticle","2021","Golden, Christopher D.; Koehn, J. Zachary; Shepon, Alon; Passarelli, Simone; Free, Christopher M.; Viana, Daniel F.; Matthey, Holger; Eurich, Jacob G.; Gephart, Jessica A.; Fluet-Chouinard, Etienne","Aquatic foods to nourish nations","Nature","","","","https://www.nature.com/articles/s41586-021-03917-1","","2021","2026-01-22 07:42:56","2026-01-22 07:42:56","2026-01-22 07:42:45","315–320","","7880","598","","","","","","","","Nature Publishing Group UK London","","","","","","","Google Scholar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TVFA6DYE","journalArticle","2019","Abdalla, Mohamed; Hastings, Astley; Cheng, Kun; Yue, Qian; Chadwick, Dave; Espenberg, Mikk; Truu, Jaak; Rees, Robert M.; Smith, Pete","A critical review of the impacts of cover crops on nitrogen leaching, net greenhouse gas balance and crop productivity","Global change biology","","","","https://onlinelibrary.wiley.com/doi/abs/10.1111/gcb.14644","","2019","2026-01-22 07:42:56","2026-01-22 07:42:56","2026-01-22 07:42:45","2530–2543","","8","25","","","","","","","","Wiley Online Library","","","","","","","Google Scholar","","","","/Users/dutang/Zotero/storage/J5UFJ728/Abdalla et al. - 2019 - A critical review of the impacts of cover crops on nitrogen leaching, net greenhouse gas balance and.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EZA8366R","journalArticle","2022","Starr, Tyler N.; Greaney, Allison J.; Hannon, William W.; Loes, Andrea N.; Hauser, Kevin; Dillen, Josh R.; Ferri, Elena; Farrell, Ariana Ghez; Dadonaite, Bernadeta; McCallum, Matthew; Matreyek, Kenneth A.; Corti, Davide; Veesler, David; Snell, Gyorgy; Bloom, Jesse D.","Shifting mutational constraints in the SARS-CoV-2 receptor-binding domain during viral evolution","Science","","0036-8075, 1095-9203","10.1126/science.abo7896","https://www.science.org/doi/10.1126/science.abo7896","Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) has evolved variants with substitutions in the spike receptor-binding domain (RBD) that affect its affinity for angiotensin-converting enzyme 2 (ACE2) receptor and recognition by antibodies. These substitutions could also shape future evolution by modulating the effects of mutations at other sites—a phenomenon called epistasis. To investigate this possibility, we performed deep mutational scans to measure the effects on ACE2 binding of all single–amino acid mutations in the Wuhan-Hu-1, Alpha, Beta, Delta, and Eta variant RBDs. Some substitutions, most prominently Asn               501               →Tyr (N501Y), cause epistatic shifts in the effects of mutations at other sites. These epistatic shifts shape subsequent evolutionary change—for example, enabling many of the antibody-escape substitutions in the Omicron RBD. These epistatic shifts occur despite high conservation of the overall RBD structure. Our data shed light on RBD sequence-function relationships and facilitate interpretation of ongoing SARS-CoV-2 evolution.                        ,              A shifting landscape for spike                            As proteins evolve, the mutational landscape changes because a mutation at one residue position may affect the functional consequences of a mutation at a second position. To explore how this plays out in the evolution of the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) spike protein, Starr               et al               . measured the effects of all single-amino-acid mutations on binding of the spike protein to the cellular receptor ACE2 in the context of different SARS-CoV-2 variants (Wuhan-Hu-1, Alpha, Beta, Delta, and Eta). They show how evolution of the protein is shaping the possibility for future mutations, for example, allowing mutations that escape antibodies while maintaining binding to ACE2. —VV                        ,              Deep mutational scanning reveals epistatic shifts in the effects of mutations on ACE2 binding, shaping SARS-CoV-2 evolution.","2022-07-22","2026-01-22 07:42:56","2026-01-22 07:42:56","2026-01-22 07:42:46","420-424","","6604","377","","Science","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/dutang/Zotero/storage/LJ7TZCPR/Starr et al. - 2022 - Shifting mutational constraints in the SARS-CoV-2 receptor-binding domain during viral evolution.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VMGS8EBF","journalArticle","2017","Hiddink, Jan Geert; Jennings, Simon; Sciberras, Marija; Szostek, Claire L.; Hughes, Kathryn M.; Ellis, Nick; Rijnsdorp, Adriaan D.; McConnaughey, Robert A.; Mazor, Tessa; Hilborn, Ray","Global analysis of depletion and recovery of seabed biota after bottom trawling disturbance","Proceedings of the National Academy of Sciences","","","","https://www.pnas.org/doi/abs/10.1073/pnas.1618858114","","2017","2026-01-22 07:42:56","2026-01-22 07:42:56","2026-01-22 07:42:47","8301–8306","","31","114","","","","","","","","National Academy of Sciences","","","","","","","Google Scholar","","","","/Users/dutang/Zotero/storage/U9AKZI7V/Hiddink et al. - 2017 - Global analysis of depletion and recovery of seabed biota after bottom trawling disturbance.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NFBGK7L8","journalArticle","2021","editors, Principal manuscript; coordination, Analysis; Zizhen 5, Integrated data analysis Armand Ethan 42 Yao; generation, ATAC-seq data; Xinxin 10 97 97, processing Fang Rongxin 45 Hou Xiaomeng 10 Lucero Jacinta D. 18 Osteen Julia K. 18 Pinto-Duarte Antonio 18 Poirion Olivier 10 Preissl Sebastian 10 Wang; generation, Epi-retro-seq data; Elora 54, processing Dominguez Bertha 53 Ito-Cole Tony 1 Jacobs Matthew 1 Jin Xin 54 99 100 99 100 Lee Cheng-Ta 53 Lee Kuo-Fen 53 Miyazaki Paula Assakura 1 Pang Yan 1 Rashid Mohammad 1 Smith Jared B. 54 Vu Minh 1 Williams","A multimodal cell census and atlas of the mammalian primary motor cortex","Nature","","","","https://www.nature.com/articles/s41586-021-03950-0","","2021","2026-01-22 07:42:56","2026-01-22 07:42:56","2026-01-22 07:42:47","86–102","","7879","598","","","","","","","","Nature Publishing Group UK London","","","","","","","Google Scholar","","","","/Users/dutang/Zotero/storage/9YMQIV7B/editors et al. - 2021 - A multimodal cell census and atlas of the mammalian primary motor cortex.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AJP5LL39","journalArticle","2021","Mohamed Nor, Nur Hazimah; Kooi, Merel; Diepens, Noël J.; Koelmans, Albert A.","Lifetime Accumulation of Microplastic in Children and Adults","Environmental Science & Technology","","0013-936X, 1520-5851","10.1021/acs.est.0c07384","https://pubs.acs.org/doi/10.1021/acs.est.0c07384","","2021-04-20","2026-01-22 07:42:56","2026-01-22 07:42:56","2026-01-22 07:42:48","5084-5096","","8","55","","Environ. Sci. Technol.","","","","","","","","en","https://creativecommons.org/licenses/by-nc-nd/4.0/","","","","DOI.org (Crossref)","","","","/Users/dutang/Zotero/storage/UDT7X4Q4/Mohamed Nor et al. - 2021 - Lifetime Accumulation of Microplastic in Children and Adults.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9ZQUPNWY","journalArticle","2023","Zu, Songpeng; Li, Yang Eric; Wang, Kangli; Armand, Ethan J.; Mamde, Sainath; Amaral, Maria Luisa; Wang, Yuelai; Chu, Andre; Xie, Yang; Miller, Michael","Single-cell analysis of chromatin accessibility in the adult mouse brain","Nature","","","","https://www.nature.com/articles/s41586-023-06824-9","","2023","2026-01-22 07:42:56","2026-01-22 07:42:56","2026-01-22 07:42:50","378–389","","7991","624","","","","","","","","Nature Publishing Group UK London","","","","","","","Google Scholar","","","","/Users/dutang/Zotero/storage/EKS7QH29/Zu et al. - 2023 - Single-cell analysis of chromatin accessibility in the adult mouse brain.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9UAYDBZP","journalArticle","2023","Li, Yang Eric; Preissl, Sebastian; Miller, Michael; Johnson, Nicholas D.; Wang, Zihan; Jiao, Henry; Zhu, Chenxu; Wang, Zhaoning; Xie, Yang; Poirion, Olivier; Kern, Colin; Pinto-Duarte, Antonio; Tian, Wei; Siletti, Kimberly; Emerson, Nora; Osteen, Julia; Lucero, Jacinta; Lin, Lin; Yang, Qian; Zhu, Quan; Zemke, Nathan; Espinoza, Sarah; Yanny, Anna Marie; Nyhus, Julie; Dee, Nick; Casper, Tamara; Shapovalova, Nadiya; Hirschstein, Daniel; Hodge, Rebecca D.; Linnarsson, Sten; Bakken, Trygve; Levi, Boaz; Keene, C. Dirk; Shang, Jingbo; Lein, Ed; Wang, Allen; Behrens, M. Margarita; Ecker, Joseph R.; Ren, Bing","A comparative atlas of single-cell chromatin accessibility in the human brain","Science","","0036-8075, 1095-9203","10.1126/science.adf7044","https://www.science.org/doi/10.1126/science.adf7044","Recent advances in single-cell transcriptomics have illuminated the diverse neuronal and glial cell types within the human brain. However, the regulatory programs governing cell identity and function remain unclear. Using a single-nucleus assay for transposase-accessible chromatin using sequencing (snATAC-seq), we explored open chromatin landscapes across 1.1 million cells in 42 brain regions from three adults. Integrating this data unveiled 107 distinct cell types and their specific utilization of 544,735 candidate cis-regulatory DNA elements (cCREs) in the human genome. Nearly a third of the cCREs demonstrated conservation and chromatin accessibility in the mouse brain cells. We reveal strong links between specific brain cell types and neuropsychiatric disorders including schizophrenia, bipolar disorder, Alzheimer’s disease (AD), and major depression, and have developed deep learning models to predict the regulatory roles of noncoding risk variants in these disorders.           ,                             INTRODUCTION               Neuropsychiatric disorders and mental illnesses are the leading cause of disease burden in the United States. Tens of thousands of sequence variants in the human genome have been linked to the etiology of these conditions. However, elucidating the role of the identified risk variants remains a challenge because most of them are outside of protein-coding regions and currently lack functional annotation. These disease risk variants likely exert their influence by perturbing transcriptional regulatory elements, thereby modulating gene expression in cell types pertinent to neuropsychiatric disorders. Recent advancements in single-cell technologies have unveiled a high degree of cellular heterogeneity across the human brain. However, the transcriptional regulatory sequences governing the identity and function of each individual brain cell type remain to be delineated, hindering our ability to interpret the noncoding disease risk variants.                                         RATIONALE               Conventionally, transcriptional regulatory sequences may be determined by evidence of chromatin accessibility that generally accompanies transcription factor binding and chromatin remodeling. However, prior catalogs of transcriptional regulatory elements lack the information about cell-type–specific activities of each element because of the use of bulk tissue samples. Recent technological strides have empowered us to analyze chromatin accessibility at the single-cell level, enabling the creation of cell-type–specific maps of transcriptional regulatory elements for complex organs such as the human brain.                                         RESULTS                                In this study, we present a comprehensive analysis of chromatin accessibility in the human brain at the single-cell level, encompassing a collection of 1.1 million cells from 42 distinct brain regions in three neurotypical adult subjects. We used this chromatin atlas to define 107 distinct brain cell types and uncovered the state of chromatin accessibility at 544,735 putative transcriptional regulatory elements in these cell types. A substantial number of these regulatory elements also exhibited both sequence conservation and chromatin accessibility in mouse brain cells, underlining their functional importance. Through integrative analysis, we have linked many putative transcriptional regulatory elements to potential target genes. We further leveraged this atlas to predict disease relevant cell types for 19 neuropsychiatric traits and disorders. Finally, we developed machine learning models to predict the regulatory function of disease risk variants. We have made this atlas freely available to the public through an interactive web portal CATLAS (                 www.catlas.org                 ).                                                        CONCLUSION               The single-cell chromatin atlas of the human brain represents a valuable resource for the neuroscience community. It offers insights into the gene-regulatory programs shaping the diversity of brain cell types and aids in interpreting the functional roles of disease risk variants located outside of protein-coding regions. This atlas, in combination with other molecular and anatomical data, promises to advance our understanding of brain function and neuropathology, ultimately offering avenues for more effective approaches to addressing neuropsychiatric disorders.                                                   Single-cell analysis of chromatin accessibility of the human brain.                                        Candidate                     cis                     -regulatory elements (cCREs) specific to distinct human brain cell types were identified by single-nucleus assay for transposase-accessible chromatin using sequencing (snATAC-seq) and linked to putative target genes through integrative analysis. The usage of cCREs was leveraged to predict brain cell types pertinent to neuropsychiatric traits and disorders and to train machine-learning models to interpret the function of noncoding risk variants. UMAP, Uniform Manifold Approximation and Projection; DL, deep learning; LD, linkage disequilibrium; GWAS, genome wide association study.","2023-10-13","2026-01-22 07:42:56","2026-01-22 07:42:56","2026-01-22 07:42:54","eadf7044","","6667","382","","Science","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/dutang/Zotero/storage/T3MYLKCJ/Li et al. - 2023 - A comparative atlas of single-cell chromatin accessibility in the human brain.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44NPCQ9D","journalArticle","2020","Starr, Tyler N.; Greaney, Allison J.; Hilton, Sarah K.; Ellis, Daniel; Crawford, Katharine HD; Dingens, Adam S.; Navarro, Mary Jane; Bowen, John E.; Tortorici, M. Alejandra; Walls, Alexandra C.","Deep mutational scanning of SARS-CoV-2 receptor binding domain reveals constraints on folding and ACE2 binding","cell","","","","https://www.cell.com/cell/fulltext/S0092-8674(20)31003-5?dgcid=raven_jbs_aip_email","","2020","2026-01-22 07:42:56","2026-01-22 07:42:56","2026-01-22 07:42:54","1295–1310","","5","182","","","","","","","","Elsevier","","","","","","","Google Scholar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V4AS7NST","journalArticle","2022","Starr, Tyler N.; Greaney, Allison J.; Stewart, Cameron M.; Walls, Alexandra C.; Hannon, William W.; Veesler, David; Bloom, Jesse D.","Deep mutational scans for ACE2 binding, RBD expression, and antibody escape in the SARS-CoV-2 Omicron BA. 1 and BA. 2 receptor-binding domains","PLoS pathogens","","","","https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1010951","","2022","2026-01-22 07:42:56","2026-01-22 07:42:56","2026-01-22 07:42:56","e1010951","","11","18","","","","","","","","Public Library of Science San Francisco, CA USA","","","","","","","Google Scholar","","","","/Users/dutang/Zotero/storage/Q297FEJK/Starr et al. - 2022 - Deep mutational scans for ACE2 binding, RBD expression, and antibody escape in the SARS-CoV-2 Omicro.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
